name,aka,page_start,page_end,row_count,chars_count,ks.,firstlast,dob
A.A.,"ks. Soikio, Olli",13,13,1,16,1,A.A.,
A.I.R,"ks. Aston, Denys",13,13,1,16,1,A.I.R,
A.K.,"ks. Kajanto, Antero",13,13,1,19,1,A.K.,
A.S.,"ks. Setälä, Annikki",13,13,1,19,1,A.S.,
A.S-m,Adi Lovisa Sjöblom,13,13,12,460,0,A.S-m,29.3.1898
"Aalto, Lahja J.","ks. Valakivi, L.",13,13,1,16,1,Lahja J. Aalto,
"Aalto, Pekka",,13,13,7,280,0,Pekka Aalto,26.5.1897
"Aaltonen, Paavo",,13,13,4,176,0,Paavo Aaltonen,
"Aaltonen, Toini",Toini Maria Autio,13,14,72,2598,0,Toini Aaltonen,30.3.1906
"Aarni, Alma Siviä",,14,14,7,257,0,Alma Siviä Aarni,28.12.1884
"Aarni, Annikki",ks. Ami Annikki,14,14,1,15,1,Annikki Aarni,
"Aarnipohja, Alli Matilda","ks. Valli, Alli",14,14,1,15,1,Alli Matilda Aarnipohja,
"Aarto, Ami","ks. Äikiä, Armas",14,14,1,16,1,Ami Aarto,
"Aava, Salme","ks. Sadeniemi, Salme",14,14,1,20,1,Salme Aava,
"Adler, Kirsti",ks. Kirsti,14,14,1,10,1,Kirsti Adler,
Agapetus,Yrjö Viljo Soini,14,15,188,7611,0,Agapetus,17.7.1896
"Ahava, Anders livar",v:een 1907 Winter,15,16,21,808,0,Anders livar Ahava,8.1.1873
"Ahlbom, Ernst Henric Wilhelm",,16,16,10,441,0,Ernst Henric Wilhelm Ahlbom,18.3.1866
"Ahmala, Kössi",Kustaa Ahmala,16,16,17,772,0,Kössi Ahmala,13.2.1889
"Aho, Hilja",,16,16,12,466,0,Hilja Aho,18.4.1900
"Aho, Paavo",,16,16,3,101,0,Paavo Aho,
"Aho, Viljo",,16,16,2,87,0,Viljo Aho,
"Ahokanta, Hugo M.","ks. Vasama, Mauri",16,16,1,17,1,Hugo M. Ahokanta,
"Ahola, Urpo Antipas",,16,16,15,601,0,Urpo Antipas Ahola,11.4.1905
"Ahonen, Irja Maria",,16,17,7,239,0,Irja Maria Ahonen,24.8.1921
"Ahonen, Kalle Anselmi",,17,17,6,210,0,Kalle Anselmi Ahonen,12.12.1906
"Ahonen, Valfrid",,17,17,7,292,0,Valfrid Ahonen,
"Ahti, Eino H.","Ahti H. Einola, Saaren Pekka, Eino Taatto,; Gabriel Tossu; Hannes Eino Gabriel Ahti, aik. Andersson",17,17,47,1930,0,Eino H. Ahti,14.3.1894
"Airamo, Aino","ks. Soikio, Olli",17,17,1,16,1,Aino Airamo,
"Airamo, Arvo Heikki",,17,17,37,1306,0,Arvo Heikki Airamo,8.7.1897
"Airola, Bruno",,17,18,2,53,0,Bruno Airola,
"Airola, Väinö",,18,18,1,43,0,Väinö Airola,
"Aksila, Heikki","ks. Helanen, Vilho",18,18,1,18,1,Heikki Aksila,
"Al’-Antila, Otto Urho",,18,18,49,1851,0,Otto Urho Al’-Antila,17.10.1885
"Alhovuori, Aini",Aini Maria Alhovuori-Tervo,18,18,21,849,0,Aini Alhovuori,23.9.1901
"Alhovuori-Tervo, Aini","ks. Alhovuori, Aini",18,18,1,19,1,Aini Alhovuori-Tervo,
"Alison, Elsie",Elsie Irene Sahlberg,18,19,36,1460,0,Elsie Alison,23.2.1892
"Alkio, Kerttu",,19,19,2,57,0,Kerttu Alkio,
"Allardt, Karin","ks. AIlardt-Ekelund, Karin",19,19,1,26,1,Karin Allardt,
"Allardt Ekelund, Karin",Karin Allardt,19,19,90,3777,0,Karin Allardt Ekelund,4.9.1895
"Alm, Karin","ks. Rydberg, Kaisu-Mirjami",19,20,2,53,1,Karin Alm,
"Almark, Ellen","ks. Grönvik, Ann-Mari",20,20,1,21,1,Ellen Almark,
"Alopaeus, Anna Vaipuri",Valpuri Paalanen,20,20,19,702,0,Anna Vaipuri Alopaeus,11.11.1919
"Alvesalo, Margit","ks. Raes, Margit",20,20,1,16,1,Margit Alvesalo,
"Anderson, Amos Valentin",,20,20,34,1455,0,Amos Valentin Anderson,3.9.1878
"Anderson, Anna","ks. Kaari, Anna",20,20,1,15,1,Anna Anderson,
"Andersson, Isak Otto","ks. Dickmann, Otto",20,20,1,18,1,Isak Otto Andersson,
"Aniala, Aino /salanimi/",,20,20,1,51,0,Aino /salanimi/ Aniala,
Anna-Kaisa,Anna Hellin Mustola,20,21,30,1115,0,Anna-Kaisa,20.11.1889
Anna-Täti,Anna Sofia Kivi,21,21,12,516,0,Anna-Täti,18.11.1876
"Antell, Per Adolf Henrik",,21,21,17,700,0,Per Adolf Henrik Antell,9.9.1914
"Antell, Karin Elisabeth",,21,21,18,691,0,Karin Elisabeth Antell,15.2.1880
Antero,"ks. Manninen, Antero",21,21,1,20,1,Antero,
Antero-setä,"ks. Manninen, Antero",21,21,1,20,1,Antero-setä,
"Anto, Alpa","Anton Tevaala, v:een 1950 Tevalin",21,21,6,223,0,Alpa Anto,16.12.1888
"Anttila, Aarne Armas",v:een 1906 Andelin,21,22,74,3213,0,Aarne Armas Anttila,24.4.1892
"Anttila, Leo",,22,22,3,80,0,Leo Anttila,
